"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\utils\userApi.ts", "TypeScript", 0, 0, 91, 0, 6, 97
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\ValidationSchema.tsx", "TypeScript JSX", 64, 0, 0, 3, 7, 74
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\goToNextQuestion.tsx", "TypeScript JSX", 7, 0, 0, 0, 3, 10
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\handleAnswer.tsx", "TypeScript JSX", 54, 0, 0, 1, 10, 65
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\handleLogin.tsx", "TypeScript JSX", 16, 0, 0, 0, 3, 19
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\submitAnswers.tsx", "TypeScript JSX", 41, 0, 0, 4, 8, 53
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\useLogin.tsx", "TypeScript JSX", 40, 0, 0, 1, 4, 45
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\useQuizData.tsx", "TypeScript JSX", 33, 0, 0, 0, 8, 41
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\fetchQuizData.tsx", "TypeScript JSX", 47, 0, 0, 5, 10, 62
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\handleLogout.tsx", "TypeScript JSX", 19, 0, 0, 3, 5, 27
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\mapQuizData.tsx", "TypeScript JSX", 18, 0, 0, 0, 3, 21
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\shuffleArray.tsx", "TypeScript JSX", 9, 0, 0, 0, 4, 13
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\index.tsx", "TypeScript JSX", 15, 0, 0, 18, 8, 41
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\types.ts", "TypeScript", 0, 0, 116, 4, 20, 140
"Total", "-", 1333, 660, 246, 113, 341, 2693
